TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0554	Hausmannite	Mn(3)O(4)	1	-18.33	
MIN	THCv9b0	_0555	Heazlewoodite	S(2)Ni(3)	1	-302.3	
MIN	THCv9b0	_0556	Hematite	Fe(2)O(3)	1	17.99	
MIN	THCv9b0	_0557	Hemicarboaluminate	Al(4)Ca(8)C(1)O(38)H(44)	569	-173.2	
MIN	THCv9b0	_0558	Heulandite_Ca	Si(686)Al(214)Ca(107)O(2417)H(1234)Div(100)	322.1	-2.46	
MIN	THCv9b0	_0559	Heulandite_Na	Si(686)Al(214)Na(214)O(2417)H(1234)Div(100)	325	-2.8	
MIN	THCv9b0	_0560	Hexahydrite	Mg(1)S(1)O(10)H(12)	1	1.64	
MIN	THCv9b0	_0561	Hillebrandite	Si(100)Ca(200)O(517)H(234)Div(100)	72.58	-36.95	
MIN	THCv9b0	_0562	Hydrocerussite	C(2)Pb(3)O(8)H(2)	1	17.91	
MIN	THCv9b0	_0563	Hydrophilite	Ca(1)Cl(2)	1	-11.77	
MIN	THCv9b0	_0564	Hydrotalcite	Al(2)Mg(4)O(17)H(20)	227.4	-73.74	
MIN	THCv9b0	_0565	Hydrotalcite-CO3	Al(2)Mg(4)C(1)O(17)H(16)	231.5	-50.86	
MIN	THCv9b0	_0566	Hydroxyapatite	Ca(5)P(3)O(13)H(1)	1	-14.35	
MIN	THCv9b0	_0567	Illite-Al	Si(315)Al(285)K(85)O(1200)H(200)Div(100)	139	-13.02	
MIN	THCv9b0	_0568	Illite-FeII	Si(340)Al(235)Fe(25)K(85)O(1200)H(200)Div(100)	140.7	-9.45	
MIN	THCv9b0	_0569	Illite-Mg	Si(340)Al(235)Mg(25)K(85)O(1200)H(200)Div(100)	140.1	-11.01	
MIN	THCv9b0	_0570	Illite-Smec_ISCz-1(2.996H2O)	Si(356.5)Al(215.2)Fe(6.7)Mg(21.8)Na(13.4)K(53)O(1499.6)H(799.2)Div(100)	192.4	-13.23	
!MIN	THCv9b0	_0571	Illite/smectiteISCz-	Si(355.9)Al(216.9)Fe(4.5)Mg(25.5)Ca(9.2)K(43.9)O(1200)H(200)Div(100)	137.1	-10.61	
!MIN	THCv9b0	_0572	Illite_Imt-2	Si(338.7)Al(204)Fe(37.6)Mg(24.1)Na(4.4)K(76.2)O(1200)H(200)Div(100)	139.2	-9.062	
!MIN	THCv9b0	_0573	Jaffeite	Si(2)Ca(6)O(13)H(6)	174.4	-114.1	
MIN	THCv9b0	_0574	Jennite	Si(6)Ca(9)O(32)H(22)	456.4	-147.3	
MIN	THCv9b0	_0575	K(NO3)	K(1)N(1)O(3)	1	0.1	
MIN	THCv9b0	_0576	K(OH)	K(1)O(1)H(1)	1	-24.6	
MIN	THCv9b0	_0577	K	K(1)	1	-70.98	
MIN	THCv9b0	_0578	K-carbonate	K(200)C(100)O(450)H(300)Div(100)	1	-3.03	
MIN	THCv9b0	_0579	K-trona	Na(1)K(2)C(2)O(8)H(5)	1	9.1	
MIN	THCv9b0	_0580	K2CO3	K(2)C(1)O(3)	1	-5.41	
MIN	THCv9b0	_0581	K2O	K(2)O(1)	1	-84.11	
MIN	THCv9b0	_0582	KAl(SO4)2	Al(1)K(1)S(2)O(8)	1	-3.74	
MIN	THCv9b0	_0583	KAl(SO4)2:12H2O	Al(1)K(1)S(2)O(20)H(24)	1	6.68	
MIN	THCv9b0	_0584	KFe(CrO4)2(H2O)2	Fe(1)K(1)Cr(2)O(10)H(4)	1	27.88	
MIN	THCv9b0	_0585	KFe3(CrO4)2(OH)6	Fe(3)K(1)Cr(2)O(14)H(6)	1	43.85	
MIN	THCv9b0	_0586	KH2PO4	K(1)P(1)O(4)H(2)	1	0.37	
MIN	THCv9b0	_0587	Kainite	Mg(1)K(1)Cl(1)S(1)O(7)H(6)	1	0.19	
MIN	THCv9b0	_0588	Kalicinite	K(1)C(1)O(3)H(1)	1	10.06	
MIN	THCv9b0	_0589	Kaolinite	Si(2)Al(2)O(9)H(4)	99.34	-6.51	
MIN	THCv9b0	_0590	Katoite	Si(1)Al(2)Ca(3)O(12)H(8)	141.5	-71.16	
MIN	THCv9b0	_0591	Lanarkite	S(1)Pb(2)O(5)	1	-2.63	
MIN	THCv9b0	_0592	Lansfordite	Mg(1)C(1)O(8)H(10)	1	5.04	
MIN	THCv9b0	_0593	Laumontite	Si(4)Al(2)Ca(1)O(16)H(8)	207.5	-11.7	
MIN	THCv9b0	_0594	Laurionite	Cl(1)Pb(1)O(1)H(1)	1	-0.62	
MIN	THCv9b0	_0595	Lawrencite	Fe(1)Cl(2)	1	-8.89	
MIN	THCv9b0	_0596	Leonhardtite	Mg(1)S(1)O(8)H(8)	1	0.89	
MIN	THCv9b0	_0597	Leonite	Mg(1)K(2)S(2)O(12)H(8)	1	3.98	
MIN	THCv9b0	_0598	Lepidocrocite	Fe(1)O(2)H(1)	1	7.735	
MIN	THCv9b0	_0599	Litharge	Pb(1)O(1)	1	-12.63	
MIN	THCv9b0	_0600	Lizardite	Si(2)Mg(3)O(9)H(4)	107.5	-33.1	
MIN	THCv9b0	_0601	Mackinawite	Fe(1)S(1)	1	-134.7	
MIN	THCv9b0	_0602	Maghemite(disord)	Fe(2)O(3)	1	13.66	
MIN	THCv9b0	_0603	Maghemite(ord)	Fe(2)O(3)	1	13.45	
MIN	THCv9b0	_0604	Magnesite(nat)	Mg(1)C(1)O(3)	1	8.91	
MIN	THCv9b0	_0605	Magnesite(syn)	Mg(1)C(1)O(3)	1	8.1	
MIN	THCv9b0	_0606	Magnetite	Fe(3)O(4)	1	6.56	
MIN	THCv9b0	_0607	Manganite	Mn(1)O(2)H(1)	1	-3.775	
MIN	THCv9b0	_0608	Margarite	Si(2)Al(4)Ca(1)O(12)H(2)	129.6	-37	
MIN	THCv9b0	_0609	Massicot	Pb(1)O(1)	1	-12.74	
MIN	THCv9b0	_0610	Melanterite	Fe(1)S(1)O(11)H(14)	1	2.21	
MIN	THCv9b0	_0611	Mercallite	K(1)S(1)O(4)H(1)	1	1.4	
MIN	THCv9b0	_0612	Merlinoite_K	Si(196)Al(104)K(104)O(769)H(338)Div(100)	112.9	-9.49	
MIN	THCv9b0	_0613	Merlinoite_Na	Si(196)Al(104)Na(104)O(827)H(454)Div(100)	114	-10.3	
MIN	THCv9b0	_0614	Mg(HPO4)(H2O)3	Mg(1)P(1)O(7)H(7)	1	-1.41	
MIN	THCv9b0	_0615	Mg(NO3)2	Mg(1)N(2)O(6)	1	-15.5	
MIN	THCv9b0	_0616	Mg(NO3)2(H2O)6	Mg(1)N(2)O(12)H(12)	1	-2.58	
MIN	THCv9b0	_0617	Mg(SO4)	Mg(1)S(1)O(4)	1	-9.1	
MIN	THCv9b0	_0618	Mg(SO4)(H2O)	Mg(1)S(1)O(5)H(2)	1	0.12	
MIN	THCv9b0	_0619	Mg	Mg(1)	1	-122.8	
MIN	THCv9b0	_0620	Mg-oxychlorur	Mg(2)Cl(1)O(7)H(11)	1	-26.03	
MIN	THCv9b0	_0621	Mg3(PO4)2	Mg(3)P(2)O(8)	1	-15.82	
MIN	THCv9b0	_0622	Mg3(PO4)2:22H2O	Mg(3)P(2)O(30)H(44)	1	-16	
MIN	THCv9b0	_0623	Mg3(PO4)2(H2O)8	Mg(3)P(2)O(16)H(16)	1	-13.9	
MIN	THCv9b0	_0624	Mg5(CO3)4(OH)2(H2O)4	Mg(5)C(4)O(18)H(10)	1	10.31	
MIN	THCv9b0	_0625	MgCl2	Mg(1)Cl(2)	1	-22.03	
MIN	THCv9b0	_0626	MgCl2(H2O)2	Mg(1)Cl(2)O(2)H(4)	1	-12.9	
MIN	THCv9b0	_0627	MgCl2(H2O)4	Mg(1)Cl(2)O(4)H(8)	1	-7.44	
MIN	THCv9b0	_0628	MgCl2(H2O)	Mg(1)Cl(2)O(1)H(2)	1	-16.22	
MIN	THCv9b0	_0629	MgCrO4	Mg(1)Cr(1)O(4)	1	86.99	
MIN	THCv9b0	_0630	MgF2	Mg(1)F(2)	1	9.22	
MIN	THCv9b0	_0631	MgMoO4	Mg(1)Mo(1)O(4)	1	0.64	
MIN	THCv9b0	_0632	Microcline	Si(3)Al(1)K(1)O(8)	108.7	-0.05	
MIN	THCv9b0	_0633	Millerite	S(1)Ni(1)	1	-128.1	
MIN	THCv9b0	_0634	Minium	Pb(3)O(4)	1	-30.54	
MIN	THCv9b0	_0635	Minnesotaite	Si(4)Fe(3)O(12)H(2)	148.5	-14.93	
MIN	THCv9b0	_0636	Mirabilite	Na(2)S(1)O(14)H(20)	1	1.23	
MIN	THCv9b0	_0637	Mn(H2SiO4)	Si(1)Mn(1)O(4)H(2)	1	-12.44	
MIN	THCv9b0	_0638	Mn(HPO4)	P(1)Mn(1)O(4)H(1)	1	5.74	
MIN	THCv9b0	_0639	Mn(SO4)	S(1)Mn(1)O(4)	1	2.68	
MIN	THCv9b0	_0640	Mn3(PO4)2	P(2)Mn(3)O(8)	1	-15.32	
MIN	THCv9b0	_0641	Mn3(PO4)2(H2O)3	P(2)Mn(3)O(11)H(6)	1	-2.32	
MIN	THCv9b0	_0642	MnCl2(H2O)2	Cl(2)Mn(1)O(2)H(4)	1	-3.98	
MIN	THCv9b0	_0643	MnCl2(H2O)4	Cl(2)Mn(1)O(4)H(8)	1	-2.71	
MIN	THCv9b0	_0644	MnCl2(H2O)	Cl(2)Mn(1)O(1)H(2)	1	-5.53	
MIN	THCv9b0	_0645	MnO	Mn(1)O(1)	1	-17.9	
MIN	THCv9b0	_0646	MnO2	Mn(1)O(2)	1	0.99	
MIN	THCv9b0	_0647	Mo	Mo(1)	1	-109.4	
MIN	THCv9b0	_0648	Mo3O8	Mo(3)O(8)	1	20.57	
MIN	THCv9b0	_0649	MoO2	Mo(1)O(2)	1	-13.11	
MIN	THCv9b0	_0650	MoO3	Mo(1)O(3)	1	11.98	
MIN	THCv9b0	_0651	MoS2	S(2)Mo(1)	1	-249.6	
MIN	THCv9b0	_0652	MoS3	S(3)Mo(1)	1	-346.7	
MIN	THCv9b0	_0653	Monocarboaluminate	Al(200)Ca(400)C(100)O(1968)H(2136)Div(100)	262	-70.3	
MIN	THCv9b0	_0654	Monosulfate-Fe	Fe(2)Ca(4)S(1)O(22)H(24)	316.1	-49.08	
MIN	THCv9b0	_0655	Monosulfoaluminate	Al(2)Ca(4)S(1)O(22)H(24)	311.3	-73.07	
MIN	THCv9b0	_0656	Montmorillonite-BCCa	Si(400)Al(166)Mg(34)Ca(17)O(1200)H(200)Div(100)	135.6	-4.2	
MIN	THCv9b0	_0657	Montmorillonite-BCK	Si(400)Al(166)Mg(34)K(34)O(1200)H(200)Div(100)	134.7	-2.81	
MIN	THCv9b0	_0658	Montmorillonite-BCMg	Si(400)Al(166)Mg(51)O(1200)H(200)Div(100)	131.6	-3.69	
MIN	THCv9b0	_0659	Montmorillonite-BCNa	Si(400)Al(166)Mg(34)Na(34)O(1200)H(200)Div(100)	134	-3.39	
MIN	THCv9b0	_0660	Montmorillonite-HCCa	Si(400)Al(140)Mg(60)Ca(30)O(1200)H(200)Div(100)	140.3	-6.89	
MIN	THCv9b0	_0661	Montmorillonite-HCK	Si(400)Al(140)Mg(60)K(60)O(1200)H(200)Div(100)	138.8	-4.43	
MIN	THCv9b0	_0662	Montmorillonite-HCMg	Si(400)Al(140)Mg(90)O(1200)H(200)Div(100)	133.3	-5.98	
MIN	THCv9b0	_0663	Montmorillonite-HCNa	Si(400)Al(140)Mg(60)Na(60)O(1200)H(200)Div(100)	137.5	-5.45	
MIN	THCv9b0	_0664	Mordenite_Ca	Si(497)Al(103)Ca(51.5)O(1510)H(620)Div(100)	209.8	2.92	
!MIN	THCv9b0	_0665	Mordenite_Oregon	Si(506)Al(94)Ca(28.9)Na(36.2)O(1546.8)H(693.6)Div(100)	212.4	4.16	
!MIN	THCv9b0	_0666	Muscovite	Si(3)Al(3)K(1)O(12)H(2)	140.8	-13.04	
MIN	THCv9b0	_0667	Na(NO3)	Na(1)N(1)O(3)	1	-1.09	
MIN	THCv9b0	_0668	Na	Na(1)	1	-67.39	
MIN	THCv9b0	_0669	Na2(CO3)	Na(2)C(1)O(3)	1	-1.12	
MIN	THCv9b0	_0670	Na2B4O7	Na(2)B(4)O(7)	1	16.06	
MIN	THCv9b0	_0671	Na2B4O7(H2O)10	Na(2)B(4)O(17)H(20)	1	24.58	
MIN	THCv9b0	_0672	Na2CO3(H2O)7	Na(2)C(1)O(10)H(14)	1	0.46	
MIN	THCv9b0	_0673	Na2HPO4	Na(2)P(1)O(4)H(1)	1	-9.24	
MIN	THCv9b0	_0674	Na2O	Na(2)O(1)	1	-67.46	
MIN	THCv9b0	_0675	Na3PO4	Na(3)P(1)O(4)	1	-23.52	
MIN	THCv9b0	_0676	NaBO2	Na(1)B(1)O(2)	1	-3.62	
MIN	THCv9b0	_0677	NaF	Na(1)F(1)	1	0.48	
MIN	THCv9b0	_0678	NaH2PO4	Na(1)P(1)O(4)H(2)	1	-2.3	
MIN	THCv9b0	_0679	Nahcolite	Na(1)C(1)O(3)H(1)	1	10.74	
MIN	THCv9b0	_0680	Natrolite	Si(3)Al(2)Na(2)O(12)H(4)	169.2	-19.33	
MIN	THCv9b0	_0681	Natron	Na(2)C(1)O(13)H(20)	1	0.83	
MIN	THCv9b0	_0682	Nesquehonite	Mg(1)C(1)O(6)H(6)	1	5.1	
MIN	THCv9b0	_0683	Ni(BO2)2	B(2)Ni(1)O(4)	1	8.7	
MIN	THCv9b0	_0684	Ni(CO3)(H2O)11/2	C(100)Ni(100)O(850)H(1100)Div(100)	1	7.52	
MIN	THCv9b0	_0685	Ni(OH)2	Ni(1)O(2)H(2)	1	-11.03	
MIN	THCv9b0	_0686	Ni(SO4)	S(1)Ni(1)O(4)	1	-4.75	
MIN	THCv9b0	_0687	Ni(SO4)(H2O)6	S(1)Ni(1)O(10)H(12)	1	2.25	
MIN	THCv9b0	_0688	Ni(SO4)(H2O)7	S(1)Ni(1)O(11)H(14)	1	2.27	
MIN	THCv9b0	_0689	Ni	Ni(1)	1	-51.01	
MIN	THCv9b0	_0690	Ni11As8	Ni(11)As(8)	1	-874.8	
MIN	THCv9b0	_0691	Ni3(AsO3)2	Ni(3)As(2)O(6)	1	-34.5	
MIN	THCv9b0	_0692	Ni3(AsO4)2(H2O)8	Ni(3)As(2)O(16)H(16)	1	28.1	
MIN	THCv9b0	_0693	Ni3(PO4)2	P(2)Ni(3)O(8)	1	-10.25	
MIN	THCv9b0	_0694	Ni5As2	Ni(5)As(2)	1	-323.2	
MIN	THCv9b0	_0695	NiAs	Ni(1)As(1)	1	-94.22	
MIN	THCv9b0	_0696	NiCl2	Cl(2)Ni(1)	1	-8.67	
MIN	THCv9b0	_0697	NiCl2(H2O)2	Cl(2)Ni(1)O(2)H(4)	1	-4.92	
MIN	THCv9b0	_0698	NiCl2(H2O)4	Cl(2)Ni(1)O(4)H(8)	1	-3.82	
MIN	THCv9b0	_0699	NiCl2(H2O)6	Cl(2)Ni(1)O(6)H(12)	1	-3.04	
MIN	THCv9b0	_0700	NiF2	F(2)Ni(1)	1	0.18	
MIN	THCv9b0	_0701	Nontronite-Ca	Si(366)Al(67)Fe(167)Ca(17)O(1200)H(200)Div(100)	133.7	17	
MIN	THCv9b0	_0702	Nontronite-K	Si(366)Al(67)Fe(167)K(34)O(1200)H(200)Div(100)	132.8	18.17	
MIN	THCv9b0	_0703	Nontronite-Mg	Si(366)Al(67)Fe(167)Mg(17)O(1200)H(200)Div(100)	129.7	17.54	
MIN	THCv9b0	_0704	Nontronite-Na	Si(366)Al(67)Fe(167)Na(34)O(1200)H(200)Div(100)	132.1	17.67	
MIN	THCv9b0	_0705	Nontronite_Nau-2	Si(345.8)Al(81.8)Fe(168.8)Mg(6.8)Ca(24.7)K(2)O(1200)H(200)Div(100)	136.4	12.97	
!MIN	THCv9b0	_0706	Okenite	Si(2)Ca(1)O(7)H(4)	94.77	-9.18	
MIN	THCv9b0	_0707	Orpiment	S(3)As(2)	1	-373.3	
MIN	THCv9b0	_0708	P	P(1)	1	-140.5	
MIN	THCv9b0	_0709	Paragonite	Si(3)Al(3)Na(1)O(12)H(2)	132.1	-16.8	
MIN	THCv9b0	_0710	Paralaurionite	Cl(1)Pb(1)O(1)H(1)	1	-0.62	
MIN	THCv9b0	_0711	Pb(H2PO4)2	P(2)Pb(1)O(8)H(4)	1	9.84	
MIN	THCv9b0	_0712	Pb(HPO4)	P(1)Pb(1)O(4)H(1)	1	4.25	
MIN	THCv9b0	_0713	Pb(OH)2	Pb(1)O(2)H(2)	1	-13.51	
MIN	THCv9b0	_0714	Pb	Pb(1)	1	-47.24	
MIN	THCv9b0	_0715	Pb2(SiO4)	Si(1)Pb(2)O(4)	1	-15.89	
MIN	THCv9b0	_0716	Pb3(AsO4)2	As(2)Pb(3)O(8)	1	35.4	
MIN	THCv9b0	_0717	Pb3(PO4)2	P(2)Pb(3)O(8)	1	5.26	
MIN	THCv9b0	_0718	Pb4O(PO4)2	P(2)Pb(4)O(9)	1	-2.24	
MIN	THCv9b0	_0719	PbB2O4	B(2)Pb(1)O(4)	1	10.87	
MIN	THCv9b0	_0720	PbF2	F(2)Pb(1)	1	7.52	
MIN	THCv9b0	_0721	PbMoO4	Mo(1)Pb(1)O(4)	1	15.8	
MIN	THCv9b0	_0722	PbSiO3(Glass)	Si(1)Pb(1)O(3)	1	-6.6	
MIN	THCv9b0	_0723	Pentahydrite	Mg(1)S(1)O(9)H(10)	1	1.28	
MIN	THCv9b0	_0724	Periclase	Mg(1)O(1)	1	-21.58	
MIN	THCv9b0	_0725	Phillipsite_Ca	Si(300)Al(100)Ca(50)O(1100)H(600)Div(100)	151.2	-2.32	
MIN	THCv9b0	_0726	Phillipsite_K	Si(3)Al(1)K(1)O(11)H(6)	149	-0.04	
MIN	THCv9b0	_0727	Phillipsite_Na	Si(3)Al(1)Na(1)O(11)H(6)	149.7	-1.45	
MIN	THCv9b0	_0728	Phlogopite_K	Si(3)Al(1)Mg(3)K(1)O(12)H(2)	149.7	-41.1	
MIN	THCv9b0	_0729	Phlogopite_Na	Si(3)Al(1)Mg(3)Na(1)O(12)H(2)	144.5	-44.2	
MIN	THCv9b0	_0730	Phosgenite	C(1)Cl(2)Pb(2)O(3)	1	-19.9	
MIN	THCv9b0	_0731	Picromerite	Mg(1)K(2)S(2)O(14)H(12)	1	4.33	
MIN	THCv9b0	_0732	Pirssonite	Ca(1)Na(2)C(2)O(8)H(4)	1	8.91	
MIN	THCv9b0	_0733	Plattnerite	Pb(1)O(2)	1	-6.61	
MIN	THCv9b0	_0734	Plumbogummite	Al(3)P(2)Pb(1)O(14)H(7)	1	-13.24	
MIN	THCv9b0	_0735	Plumbonacrite	C(6)Pb(10)O(25)H(6)	1	42.09	
MIN	THCv9b0	_0736	Polydymite	S(4)Ni(3)	1	-470.8	
MIN	THCv9b0	_0737	Polyhalite	Mg(1)Ca(2)K(2)S(4)O(18)H(4)	1	13.74	
MIN	THCv9b0	_0738	Portlandite	Ca(1)O(2)H(2)	33.06	-22.81	
MIN	THCv9b0	_0739	Pyrite	Fe(1)S(2)	23.94	-217.8	
MIN	THCv9b0	_0740	Pyrochroite	Mn(1)O(2)H(2)	1	-15.3	
MIN	THCv9b0	_0741	Pyromorphite	Cl(1)P(3)Pb(5)O(12)	1	25.75	
MIN	THCv9b0	_0742	Pyromorphite-F	F(1)P(3)Pb(5)O(12)	1	13.1	
MIN	THCv9b0	_0743	Pyromorphite-OH	P(3)Pb(5)O(13)H(1)	1	4.15	
MIN	THCv9b0	_0744	Pyrophyllite	Si(4)Al(2)O(12)H(2)	128.1	0.42	
MIN	THCv9b0	_0745	Pyrrhotite	Fe(87)S(100)Div(100)	18.2	-127.1	
MIN	THCv9b0	_0746	Quartz	Si(1)O(2)	22.69	3.74	
MIN	THCv9b0	_0747	Realgar	S(1)As(1)	1	-135.7	
MIN	THCv9b0	_0748	Rhodochrosite	C(1)Mn(1)O(3)	1	11.13	
MIN	THCv9b0	_0749	Rhodochrosite(syn)	C(1)Mn(1)O(3)	1	10.52	
MIN	THCv9b0	_0750	Ripidolite_Cca-2	Si(263.3)Al(248.3)Fe(192.7)Mg(296.4)Ca(1.1)O(1800)H(800)Div(100)	211.8	-59.53	
!MIN	THCv9b0	_0751	S	S(1)	1	-93.14	
MIN	THCv9b0	_0752	Sacchite	Cl(2)Mn(1)	1	-8.77	
MIN	THCv9b0	_0753	Sanidine	Si(3)Al(1)K(1)O(8)	1	-0.58	
MIN	THCv9b0	_0754	Saponite-Ca	Si(366)Al(34)Mg(300)Ca(17)O(1200)H(200)Div(100)	142.6	-29.34	
MIN	THCv9b0	_0755	Saponite-FeCa	Si(366)Al(34)Fe(100)Mg(200)Ca(17)O(1200)H(200)Div(100)	145.2	-26.55	
MIN	THCv9b0	_0756	Saponite-FeK	Si(366)Al(34)Fe(100)Mg(200)K(34)O(1200)H(200)Div(100)	144.3	-25.38	
MIN	THCv9b0	_0757	Saponite-FeMg	Si(366)Al(34)Fe(100)Mg(217)O(1200)H(200)Div(100)	141.2	-26	
MIN	THCv9b0	_0758	Saponite-FeNa	Si(366)Al(34)Fe(100)Mg(200)Na(34)O(1200)H(200)Div(100)	143.5	-25.7	
MIN	THCv9b0	_0759	Saponite-K	Si(366)Al(34)Mg(300)K(34)O(1200)H(200)Div(100)	141.7	-28.17	
MIN	THCv9b0	_0760	Saponite-Mg	Si(366)Al(34)Mg(317)O(1200)H(200)Div(100)	138.6	-28.79	
MIN	THCv9b0	_0761	Saponite-Na	Si(366)Al(34)Mg(300)Na(34)O(1200)H(200)Div(100)	141	-28.67	
MIN	THCv9b0	_0762	Saponite_SapCa	Si(356.9)Al(39.7)Fe(5.5)Mg(294.9)Ca(3.8)Na(39.4)K(2.1)O(1200)H(200)Div(100)	141.7	-31.18	
!MIN	THCv9b0	_0763	Saponite_SapCa(4.151H2O)	Si(356.9)Al(39.7)Fe(5.5)Mg(294.9)Ca(3.8)Na(39.4)K(2.1)O(1615.1)H(1030.2)Div(100)	216.7	-28.01	
!MIN	THCv9b0	_0764	Scolecite	Si(3)Al(2)Ca(1)O(13)H(6)	172.3	-16.65	
MIN	THCv9b0	_0765	Si	Si(1)	1	-149.2	
MIN	THCv9b0	_0766	SiO2(am)	Si(1)O(2)	29	2.71	
MIN	THCv9b0	_0767	Siderite	Fe(1)C(1)O(3)	29.38	10.8	
MIN	THCv9b0	_0768	Siderophyllite	Si(2)Al(3)Fe(2)K(1)O(12)H(2)	150.6	-40.57	
MIN	THCv9b0	_0769	SmectiteMX80	Si(373.8)Al(186)Fe(20.8)Mg(21.4)Ca(0.9)Na(40.9)K(2.4)O(1200)H(200)Div(100)	134.9	-3.802	
!MIN	THCv9b0	_0770	Smectite_MX80(3.989H2O)	Si(373.8)Al(186)Fe(20.8)Mg(21.4)Ca(0.9)Na(40.9)K(2.4)O(1598.9)H(997.8)Div(100)	207	-0.3121	
