AQU H2O       O(1)H(2)          0.00	  45.027019    	  41.544996    	  37.587590    	  34.021359    	  30.566902    	  27.891722    	  25.767432    	  24.046163    	
AQU AL+3      AL(1)+(3)         3.42	  94.016197    	  84.741483    	  74.018584    	  64.156181    	  54.350150    	  46.493808    	  39.993895    	  34.458027    	
AQU ALO+      AL(1)O(1)+(1)     1.11	  127.06843    	  115.95192    	  103.11686    	  91.339481    	  79.684311    	  70.426388    	  62.869187    	  56.556462    	
AQU ALOH+2    AL(1)O(1)H(1)+(2) 2.37	  133.28477    	  121.29330    	  107.55241    	  95.032973    	  82.726542    	  73.008239    	  65.104257    	  58.505860    	
AQU ALOOH(AQ) H(1)AL(1)O(2)+(0) 0.00	  166.02151    	  152.24425    	  136.30808    	  121.66230    	  107.15738    	  95.644725    	  86.276478    	  78.498872    	
AQU ALOO-     AL(1)O(2)-(1)     1.38	  159.09715    	  145.64212    	  130.16289    	  116.00460    	  102.03074    	  90.946083    	  81.878368    	  74.213580    	
